#Parameters = {R=70}
#"Frequency / THz"	"Total RCS [pw] [Magnitude]"
#----------------------------------------------
380.00000000000	3743.3168188012
383.00000000000	3864.0687346687
386.00000000000	3989.5209794999
389.00000000000	4119.9603007703
392.00000000000	4256.3132414219
395.00000000000	4398.7285386145
398.00000000000	4547.1309185782
401.00000000000	4702.6811229427
404.00000000000	4865.9874353020
407.00000000000	5036.9104195047
410.00000000000	5216.1348506169
413.00000000000	5405.3441945814
416.00000000000	5604.8784509630
419.00000000000	5815.1043589935
422.00000000000	6037.3587620918
425.00000000000	6275.8089891604
428.00000000000	6529.7631988855
431.00000000000	6798.0685060096
434.00000000000	7084.5949667488
437.00000000000	7395.4195399882
440.00000000000	7731.2036648487
443.00000000000	8096.1146755026
446.00000000000	8493.7238700746
449.00000000000	8927.5847053374
452.00000000000	9404.0805951774
455.00000000000	9931.5661905380
458.00000000000	10522.935908025
461.00000000000	11183.880734292
464.00000000000	11935.056227476
467.00000000000	12793.047559170
470.00000000000	13784.783271224
473.00000000000	14943.342357723
476.00000000000	16308.457563818
479.00000000000	17945.439121159
482.00000000000	19926.074540163
485.00000000000	22361.473674372
488.00000000000	25403.098457463
491.00000000000	29251.608574113
494.00000000000	34256.814401608
497.00000000000	40805.770272549
500.00000000000	49447.107827122
503.00000000000	60928.329049173
506.00000000000	75857.111974367
509.00000000000	94362.837079294
512.00000000000	114841.84692103
515.00000000000	132394.68494270
518.00000000000	140608.40714889
521.00000000000	136363.01032926
524.00000000000	123098.08209901
527.00000000000	106720.13072003
530.00000000000	91257.103465472
533.00000000000	78522.812021050
536.00000000000	68565.243516549
539.00000000000	60904.272410695
542.00000000000	55138.448513097
545.00000000000	50816.632300160
548.00000000000	47521.547208481
551.00000000000	45088.564931302
554.00000000000	43323.072118579
557.00000000000	42054.396008805
560.00000000000	41209.238426511
563.00000000000	40728.454305249
566.00000000000	40554.283585250
569.00000000000	40636.554326851
572.00000000000	40957.662037549
575.00000000000	41502.626661275
578.00000000000	42254.328280026
581.00000000000	43216.434395364
584.00000000000	44385.398442358
587.00000000000	45762.209540830
590.00000000000	47356.987668326
593.00000000000	49180.670282147
596.00000000000	51242.693964371
599.00000000000	53555.187595248
602.00000000000	56144.731754882
605.00000000000	59016.993027049
608.00000000000	62168.420566503
611.00000000000	65589.043100237
614.00000000000	69383.901431221
617.00000000000	73398.305704374
620.00000000000	77386.447255791
623.00000000000	81013.976992410
626.00000000000	83768.410815947
629.00000000000	84813.048057473
632.00000000000	83213.256129787
635.00000000000	78292.258359777
638.00000000000	70018.281496757
641.00000000000	58652.157589311
644.00000000000	46659.975494143
647.00000000000	36034.862241115
650.00000000000	28040.528391323
653.00000000000	22062.361439493
656.00000000000	16122.733585903
659.00000000000	11093.754356402
662.00000000000	7890.8357744337
665.00000000000	6139.3366467559
668.00000000000	5325.1712174882
671.00000000000	5168.0604864881
674.00000000000	5438.8793414089
677.00000000000	5977.7317176371
680.00000000000	6684.1588888497
683.00000000000	7527.4330968568
686.00000000000	8458.2712390139
689.00000000000	9418.3596843454
692.00000000000	10387.816045195
695.00000000000	11353.954711477
698.00000000000	12338.307147177
701.00000000000	13381.912929810
704.00000000000	14399.197464997
707.00000000000	15388.430008239
710.00000000000	16350.014240585
713.00000000000	17284.780417450
716.00000000000	18269.728910660
719.00000000000	19241.190277287
722.00000000000	20159.455335883
725.00000000000	21018.915176614
728.00000000000	21849.125017822
731.00000000000	22713.096918082
734.00000000000	23866.769986642
737.00000000000	25254.568976526
740.00000000000	26930.099099223
743.00000000000	28918.043646595
746.00000000000	31127.952523135
749.00000000000	33344.328099211
752.00000000000	35550.852142317
755.00000000000	37039.258034646
758.00000000000	37885.534724356
761.00000000000	38286.498464181
764.00000000000	38353.053314880
767.00000000000	38118.939204202
770.00000000000	36914.641790168
773.00000000000	34641.561179084
776.00000000000	32363.711331713
779.00000000000	30321.264553554
#Parameters = {R=50}
#"Frequency / THz"	"Total RCS [pw] (R=50) [Magnitude]"
#-----------------------------------------------------
380.00000000000	487.10572020320
383.00000000000	499.66374217060
386.00000000000	512.50402708002
389.00000000000	525.64435099331
392.00000000000	539.15793270028
395.00000000000	552.99998523666
398.00000000000	567.17327921386
401.00000000000	581.73126949704
404.00000000000	596.69479687979
407.00000000000	612.02164457276
410.00000000000	627.73003783326
413.00000000000	643.89813104813
416.00000000000	660.48985361535
419.00000000000	677.49288209019
422.00000000000	694.92595861537
425.00000000000	712.96651912148
428.00000000000	731.49508745672
431.00000000000	750.39148339460
434.00000000000	769.73428049893
437.00000000000	789.79074824291
440.00000000000	810.41001333776
443.00000000000	831.65474786111
446.00000000000	853.47812356694
449.00000000000	875.90332315074
452.00000000000	898.92441737428
455.00000000000	922.62228275022
458.00000000000	947.02795569149
461.00000000000	972.13182789164
464.00000000000	998.03458793043
467.00000000000	1024.7118962187
470.00000000000	1052.2118049004
473.00000000000	1080.5521336388
476.00000000000	1109.7511757902
479.00000000000	1139.9153530468
482.00000000000	1171.0189959222
485.00000000000	1203.1190189468
488.00000000000	1236.2833576838
491.00000000000	1270.5248721627
494.00000000000	1306.0515464765
497.00000000000	1342.8254464349
500.00000000000	1380.8579685053
503.00000000000	1420.2506520362
506.00000000000	1461.0531437495
509.00000000000	1503.4405239938
512.00000000000	1547.5254135285
515.00000000000	1593.2936710157
518.00000000000	1640.9528946121
521.00000000000	1690.6435326251
524.00000000000	1742.3597733164
527.00000000000	1796.4408001652
530.00000000000	1853.2162688138
533.00000000000	1912.5810642409
536.00000000000	1974.7753436784
539.00000000000	2040.2374521698
542.00000000000	2108.9954890473
545.00000000000	2181.3408220561
548.00000000000	2258.3182985455
551.00000000000	2339.7506888051
554.00000000000	2426.0742922515
557.00000000000	2518.5808558909
560.00000000000	2617.7967106562
563.00000000000	2724.0207600473
566.00000000000	2838.2550175472
569.00000000000	2962.4184807136
572.00000000000	3097.6294688266
575.00000000000	3244.5627081854
578.00000000000	3407.5882338186
581.00000000000	3589.8664780376
584.00000000000	3793.0251877481
587.00000000000	4020.4105500333
590.00000000000	4280.8867769980
593.00000000000	4579.9045121443
596.00000000000	4924.8970183964
599.00000000000	5327.0794634948
602.00000000000	5804.5850362763
605.00000000000	6376.0438379364
608.00000000000	7067.8849197557
611.00000000000	7916.9492014276
614.00000000000	9030.7528488763
617.00000000000	10484.922363414
620.00000000000	12386.630772851
623.00000000000	14909.048234187
626.00000000000	18353.213648629
629.00000000000	23064.279347199
632.00000000000	29192.779969527
635.00000000000	36475.683808264
638.00000000000	43541.152269341
641.00000000000	47725.898256114
644.00000000000	46719.729953239
647.00000000000	41713.440669356
650.00000000000	35458.260719250
653.00000000000	29568.405273099
656.00000000000	24734.708711401
659.00000000000	21176.327985619
662.00000000000	18589.820214222
665.00000000000	16707.963615172
668.00000000000	15265.268053395
671.00000000000	14190.185715175
674.00000000000	13424.089734704
677.00000000000	12886.433825778
680.00000000000	12522.613395192
683.00000000000	12276.886737665
686.00000000000	12137.478515548
689.00000000000	12100.114449469
692.00000000000	12148.752029859
695.00000000000	12272.516682784
698.00000000000	12462.957497680
701.00000000000	12721.091606185
704.00000000000	13051.269160620
707.00000000000	13450.557531933
710.00000000000	13917.388816036
713.00000000000	14449.752853057
716.00000000000	15062.867504060
719.00000000000	15737.605346641
722.00000000000	16440.787488035
725.00000000000	17122.360679059
728.00000000000	17697.323229399
731.00000000000	18035.672851960
734.00000000000	17778.412182525
737.00000000000	16650.750981739
740.00000000000	14617.098691454
743.00000000000	12010.010657092
746.00000000000	9393.3614171627
749.00000000000	7221.4818037273
752.00000000000	5369.4436157184
755.00000000000	4423.7100962052
758.00000000000	4086.2679636144
761.00000000000	4083.1556093689
764.00000000000	4256.8113476487
767.00000000000	4521.3273132052
770.00000000000	4968.6959793653
773.00000000000	5554.0448200121
776.00000000000	6082.5894906989
779.00000000000	6569.7965371168
#Parameters = {R=54}
#"Frequency / THz"	"Total RCS [pw] (R=54) [Magnitude]"
#-----------------------------------------------------
380.00000000000	768.50997300437
383.00000000000	788.92334512799
386.00000000000	809.89213948956
389.00000000000	831.36497239922
392.00000000000	853.50716463662
395.00000000000	876.24683042911
398.00000000000	899.56264923078
401.00000000000	923.55880296347
404.00000000000	948.25979352696
407.00000000000	973.62156615343
410.00000000000	999.65364503135
413.00000000000	1026.5034422978
416.00000000000	1054.1374425789
419.00000000000	1082.5051702413
422.00000000000	1111.6604183989
425.00000000000	1141.8308218839
428.00000000000	1172.9736952291
431.00000000000	1204.8392172063
434.00000000000	1237.6214228544
437.00000000000	1271.6083793776
440.00000000000	1306.6718579523
443.00000000000	1342.8903801866
446.00000000000	1380.2573461486
449.00000000000	1418.7568813264
452.00000000000	1458.4382882484
455.00000000000	1499.4194263243
458.00000000000	1541.8398158569
461.00000000000	1585.6593776004
464.00000000000	1631.0535497221
467.00000000000	1677.9963446620
470.00000000000	1726.6215353796
473.00000000000	1777.0463713777
476.00000000000	1829.2537654734
479.00000000000	1883.4968897065
482.00000000000	1939.8081806326
485.00000000000	1998.1594916826
488.00000000000	2059.4395878715
491.00000000000	2122.7717044795
494.00000000000	2189.1034908337
497.00000000000	2258.3228927095
500.00000000000	2330.6518581075
503.00000000000	2406.4147820876
506.00000000000	2485.7062918026
509.00000000000	2568.8640354865
512.00000000000	2656.6423371993
515.00000000000	2749.0096711988
518.00000000000	2846.6513527143
521.00000000000	2950.2484733483
524.00000000000	3059.9925308658
527.00000000000	3177.0200039094
530.00000000000	3302.6836378523
533.00000000000	3437.1206321651
536.00000000000	3581.6196399404
539.00000000000	3738.0188028442
542.00000000000	3907.3227314208
545.00000000000	4091.3894828428
