#Parameters = {R=50}
#"Wavelength / nm"	"Total RCS [pw] (R=50) [Magnitude]"
#-----------------------------------------------------
788.92752105263	487.10572027040
782.74793211488	499.66374217067
776.66439896373	512.50402707921
770.67469922879	525.64435100053
764.77667857143	539.15793269983
758.96824810127	552.99998523526
753.24738190955	567.17327921382
747.61211471322	581.73126949707
742.06053960396	596.69479687981
736.59080589681	612.02164457263
731.20111707317	627.73003783320
725.88972881356	643.89813104800
720.65494711538	660.48985361548
715.49512649165	677.49288236305
710.40866824645	694.92595852008
705.39401882353	712.96651912133
700.44966822430	731.49508745668
695.57414849188	750.39148344417
690.76603225806	769.73428049554
686.02393135011	789.79074824085
681.34649545455	810.41001332880
676.73241083521	831.65474784820
672.18039910314	853.47812356740
667.68921603563	875.90332315119
663.25765044248	898.92441740799
658.88452307692	922.62228253603
654.56868558952	947.02795576190
650.30901952278	972.13182789270
646.10443534483	998.03458791887
641.95387152034	1024.7118961729
637.85629361702	1052.2118049497
633.81069344609	1080.5521336387
629.81608823529	1109.7511757905
625.87151983299	1139.9153529950
621.97605394191	1171.0189959214
618.12877938144	1203.1190190107
614.32880737705	1236.2833576825
610.57527087576	1270.5248721597
606.86732388664	1306.0515464765
603.20414084507	1342.8254464345
599.58491600000	1380.8579685057
596.00886282306	1420.2506520016
592.47521343874	1461.0531437467
588.98321807466	1503.4405239939
585.53214453125	1547.5254134253
582.12127766990	1593.2936710186
578.74991891892	1640.9528946120
575.41738579655	1690.6435326249
572.12301145038	1742.3597733163
568.86614421252	1796.4408001650
565.64614716981	1853.2162688137
562.46239774859	1912.5810642613
559.31428731343	1974.7753435317
556.20122077922	2040.2374521701
553.12261623616	2108.9954890486
550.07790458716	2181.3408219588
547.06652919708	2258.3182985455
544.08794555354	2339.7506888056
541.14162093863	2426.0742920196
538.22703411131	2518.5808558909
535.34367500000	2617.7967106563
532.49104440497	2724.0207600480
529.66865371025	2838.2550175483
526.87602460457	2962.4184807109
524.11268881119	3097.6294688265
521.37818782609	3244.5627080850
518.67207266436	3407.5882338184
515.99390361446	3589.8664758043
513.34325000000	3793.0251877464
510.71968994889	4020.4105498355
508.12281016949	4280.8867769982
505.55220573356	4579.9045121449
503.00747986577	4924.8970183577
500.48824373957	5327.0794634931
497.99411627907	5804.5850362763
495.52472396694	6376.0438379677
493.07970065789	7067.8849196453
490.65868739771	7916.9492014276
488.26133224756	9030.7528488763
485.88729011345	10484.922363451
483.53622258065	12386.630772888
481.20779775281	14909.048234187
478.90169009585	18353.213648635
476.61758028617	23064.279347199
474.35515506329	29192.779969527
472.11410708661	36475.683808265
469.89413479624	43541.152269340
467.69494227769	47725.898256114
465.51623913043	46719.729953239
463.35774034003	41713.440669356
461.21916615385	35458.260719250
459.10024196018	29568.405273093
457.00069817073	24734.708711402
454.92027010622	21176.327985611
452.85869788520	18589.820214212
450.81572631579	16707.963615267
448.79110479042	15265.268056124
446.78458718331	14190.185715039
444.79593175074	13424.089734746
442.82490103397	12886.433825778
440.87126176471	12522.613395194
438.93478477306	12276.886738247
437.01524489796	12137.478515549
435.11242089985	12100.114449469
433.22609537572	12148.752029854
431.35605467626	12272.516681534
429.50208882521	12462.957497681
427.66399144080	12721.091606198
425.84155965909	13051.269160620
424.03459405941	13450.557531933
422.24289859155	13917.388816033
420.46628050491	14449.752853057
418.70455027933	15062.867504060
