# # You can open and plot this file using Python
# # (without manually removing this header, it will be skipped), see example below.
# import numpy as np
# from matplotlib import pyplot as plt
# data = np.genfromtxt('scattnlay-spectra.txt', skip_header=21, names=True, delimiter=', ')
# x = data[data.dtype.names[0]] # x-axis has units
# # Possible labels for spectrum data: Qsca, Qabs, Qext,
# # Qsca_E_dipole, etc. (see last comment before spectra data)
# a = data['Qsca']
# b = data['Qsca_E_dipole']
# c = data['Qsca_H_dipole']
# 
# plt.figure()
# plt.plot(x, a, label='Qsca')
# plt.plot(x, b, label='Qsca E dipole')
# plt.plot(x, c, label='Qsca H dipole')
# plt.legend()
# plt.xlabel(data.dtype.names[0].replace('_', ', '))
# plt.ylabel('Normalized cross-sections')
# plt.show()

# Wavelength [nm], Qsca, Qabs, Qext, Qsca_E_dipole, Qabs_E_dipole, Qext_E_dipole, Qsca_H_dipole, Qabs_H_dipole, Qext_H_dipole, Qsca_E_quadrupole, Qabs_E_quadrupole, Qext_E_quadrupole, Qsca_H_quadrupole, Qabs_H_quadrupole, Qext_H_quadrupole, Qsca_E_octupole, Qabs_E_octupole, Qext_E_octupole, Qsca_H_octupole, Qabs_H_octupole, Qext_H_octupole, Qsca_E_16, Qabs_E_16, Qext_E_16, Qsca_H_16, Qabs_H_16, Qext_H_16
380, 0.02468918622678557, 0.001673964497374815, 0.026363150724160386, 0.02455604777508993, 0.0011205730949224169, 0.025676620870012348, 0.00013197220752054649, 0.000543047524233229, 0.0006750197317537755, 0.0000011644650004496433, 0.00000799315721394555, 0.000009157622214395193, 1.7664776543546898e-9, 0.0000023162465024682697, 0.0000023180129801226243, 1.2689938038017499e-11, 2.9128852342075835e-8, 2.9141542280113852e-8, 7.006055585116529e-15, 5.279155904544063e-9, 5.279162910599648e-9, 4.358966047170132e-17, 5.913106627396196e-11, 5.913110986362244e-11, 1.0691720497816938e-20, 7.281375494644664e-12, 7.281375505336383e-12
382, 0.024146786639610653, 0.0016555362761414803, 0.025802322915752133, 0.02401961748278303, 0.0011130098769223697, 0.0251326273597054, 0.00012605090301258382, 0.0005323735392848388, 0.0006584244422974227, 0.0000011165856545354054, 0.000007866664991419624, 0.00000898325064595503, 1.6562372659902185e-9, 0.0000022526727307709224, 0.0000022543289680369126, 1.1916760992340815e-11, 2.8373820949298834e-8, 2.8385737710291173e-8, 6.436880625655948e-15, 5.08437185368008e-9, 5.0843782905607054e-9, 4.0083731665866425e-17, 5.699934301645887e-11, 5.6999383100190535e-11, 9.62195182439152e-21, 6.941724118726247e-12, 6.9417241283481985e-12
384, 0.02361938903292589, 0.001637516211366128, 0.025256905244292017, 0.023497886075595834, 0.0011055573780625744, 0.02460344345365841, 0.00012043048263470657, 0.0005219921854655918, 0.0006424226681002983, 0.0000010709100693487033, 0.000007742843336728506, 0.000008813753406077209, 1.5534256911722842e-9, 0.0000021912029064467955, 0.0000021927563321379677, 1.1194352544495343e-11, 2.764216303001173e-8, 2.7653357382556224e-8, 5.916612168556558e-15, 4.897782593541602e-9, 4.89778851015377e-9, 3.6875876125864926e-17, 5.4954995696105976e-11, 5.49550325719821e-11, 8.66402946559178e-21, 6.619605359690696e-12, 6.6196053683547255e-12
386, 0.0231064914977943, 0.0016198911908896496, 0.02472638268868395, 0.022990368865450597, 0.0010982130474781575, 0.024088581912928755, 0.00011509383822287557, 0.0005118930549703601, 0.0006269868931932357, 0.0000010273260906757494, 0.000007621621620535632, 0.000008648947711211382, 1.4575055345001835e-9, 0.000002131755402042371, 0.000002133212907576871, 1.0519141244920285e-11, 2.6933038277214236e-8, 2.6943557418459155e-8, 5.4408208331566275e-15, 4.7190011340947035e-9, 4.7190065749155366e-9, 3.393939762972243e-17, 5.299401581371279e-11, 5.2994049753110415e-11, 7.805761619291295e-21, 6.314027697665322e-12, 6.314027705471084e-12
388, 0.022607611895312296, 0.001602648646016211, 0.024210260541328507, 0.02249659985006376, 0.0010909744146063542, 0.023587574264670116, 0.00011002493956197743, 0.0005020661972132436, 0.000612091136775221, 9.857278127780671e-7, 0.00000750293146375087, 0.000008488659276528937, 1.3679809218410303e-9, 0.0000020742522268894912, 0.0000020756202078113324, 9.887823449442102e-12, 2.624564075853235e-8, 2.6255528581981792e-8, 5.005498784644857e-15, 4.547660746530717e-9, 4.5476657520295014e-9, 3.125011099010345e-17, 5.11125981662198e-11, 5.1112629416330785e-11, 7.036339225009864e-21, 6.024060539287473e-12, 6.024060546323812e-12
390, 0.02212228695711569, 0.0015857765241120668, 0.023708063481227757, 0.022016130888489815, 0.0010838390859940275, 0.023099969974483842, 0.00010520875972939929, 0.00049250209488888, 0.0005977108546182792, 9.460152004077077e-7, 0.000007386706653413245, 0.000008332721853820952, 1.2843940888488485e-9, 0.0000020186188439575177, 0.0000020199032380463666, 9.297342008521279e-12, 2.557919734086136e-8, 2.558849468286988e-8, 4.607017692478964e-15, 4.38341379889143e-9, 4.383418405909122e-9, 2.8786094689059364e-17, 4.930712956188475e-11, 4.930715834797944e-11, 6.346173098324726e-21, 5.748830178010208e-12, 5.748830184356382e-12
392, 0.021650071432508633, 0.0015692632628253184, 0.02321933469533395, 0.02154853091761866, 0.0010768047422579918, 0.022625335659876653, 0.00010063120608309607, 0.0004831916414878411, 0.0005838228475709372, 9.080937354785565e-7, 0.000007272883062192951, 0.000008180976797671507, 1.2063222663960086e-9, 0.000001964783997000319, 0.000001965990319266715, 8.74486674915807e-12, 2.4932966194917612e-8, 2.494171106166677e-8, 4.242091071788717e-15, 4.225930664539968e-9, 4.22593490663104e-9, 2.652746897121784e-17, 4.7574178215466544e-11, 4.757420474293552e-11, 5.726750952550576e-21, 5.487516041728725e-12, 5.4875160474554755e-12
394, 0.021190537279489396, 0.0015530977658178118, 0.022743635045307208, 0.02109338520736523, 0.0010698691351904953, 0.022163254342555724, 0.00009627905643095095, 0.00047412612016579144, 0.0005704051765967424, 8.718740866700476e-7, 0.0000071613985713373145, 0.000008033272658007362, 1.1333748356495321e-9, 0.0000019126795473590153, 0.000001913812922194665, 8.227776590589389e-12, 2.4306235375266914e-8, 2.4314463151857503e-8, 3.907740530942955e-15, 4.0748986985517135e-9, 4.074902606292244e-9, 2.4456196664330715e-17, 4.591048377928527e-11, 4.5910508235481934e-11, 5.170511795433362e-21, 5.239347205923024e-12, 5.239347211093536e-12
396, 0.020743272897126127, 0.0015372693799048515, 0.02228054227703098, 0.020650294652428347, 0.0010630300849989692, 0.021713324737427316, 0.00009213989995941788, 0.00046529718387361055, 0.0005574370838330284, 8.372718003673394e-7, 0.000007052192996893555, 0.000007889464797260894, 1.0651907281399895e-9, 0.000001862240319824506, 0.0000018633055105526461, 7.743643149699574e-12, 2.3698321471608094e-8, 2.3706065114757792e-8, 3.6012655033477074e-15, 3.930021277448446e-9, 3.9300248787139495e-9, 2.2555904300431383e-17, 4.4312947968863644e-11, 4.4312970524767945e-11, 4.670735513840793e-21, 5.003599152243867e-12, 5.003599156914603e-12
398, 0.020307882396901376, 0.0015217678735119783, 0.021829650270413354, 0.020218875098623853, 0.0010562854776756288, 0.02127516057629948, 0.00008820208253645237, 0.0004566968366631379, 0.0005448989191995903, 8.042070114608738e-7, 0.00000694520801904906, 0.000007749415030509934, 1.0014360485541892e-9, 0.0000018134039570042146, 0.0000018144053930527688, 7.290215705416156e-12, 2.3108568327453875e-8, 2.311585854315929e-8, 3.3202160875035227e-15, 3.791016898048225e-9, 3.791020218264312e-9, 2.081172138104009e-17, 4.27786257451591e-11, 4.2778646556880484e-11, 4.221445746338033e-21, 4.779590754130112e-12, 4.779590758351558e-12
